sas_month,N,in_nh_month,stay_lt_30d,discharge_lt_30d,deceased_yn
Jan-20,1568306,1568306,257691,288214,55476
Feb-20,1555770,1555770,226054,285056,51758
Mar-20,1511190,1511190,190022,273525,57341
Apr-20,1385254,1385254,117299,202328,78911
May-20,1318712,1318712,132581,186484,57076
Jun-20,1315005,1315005,158955,188271,43630
Jul-20,1322806,1322806,166626,205213,48129
Aug-20,1311658,1311658,164221,205627,48712
Sep-20,1311053,1311053,172094,206622,44479
Oct-20,1318677,1318677,179876,225000,49757
Nov-20,1286939,1286939,157443,210115,58693
Dec-20,1279918,1279918,179112,222251,71411
Jan-21,1262878,1262878,185811,213596,63377
Feb-21,1250081,1250081,172334,208969,42801
